student_id,job_satisfaction,job_meaningful,hours_classwork,has_pets
S051,Extremely Satisfied,Sometimes,10.0,No
S052,Somewhat dissatisfied,Yes,10.5,No
S053,Extremely Satisfied,Yes,1.5,No
S054,Very satisfied,Sometimes,2.0,No
S055,Neutral,Sometimes,20.0,No
S056,Somewhat satisfied,Sometimes,1.5,No
S057,Neutral,Sometimes,5.5,No
S058,Neutral,Yes,6.0,No
S059,Somewhat dissatisfied,Yes,21.0,No
S060,Very satisfied,Yes,11.5,No
S061,Very satisfied,Sometimes,1.5,No
S062,Somewhat dissatisfied,Yes,6.0,No
S063,Somewhat dissatisfied,Sometimes,1.5,No
S064,Extremely Satisfied,Sometimes,10.0,No
S065,Somewhat dissatisfied,Yes,11.5,No
S066,Very satisfied,Sometimes,5.5,No
S067,Very satisfied,Sometimes,1.5,No
S068,Very dissatisfied,Sometimes,9.0,No
S069,Somewhat satisfied,Yes,21.0,No
S070,Very satisfied,Yes,8.0,No
S071,Extremely Satisfied,Sometimes,18.0,No
S072,Very satisfied,No,8.5,No
S073,Neutral,Yes,22.0,No
S074,Extremely Satisfied,Yes,8.5,No
S075,Somewhat dissatisfied,Sometimes,20.0,No
S076,Somewhat dissatisfied,No,21.0,No
S077,Extremely Satisfied,Sometimes,5.5,No
S078,Somewhat dissatisfied,Yes,4.5,No
S079,Very satisfied,Sometimes,7.5,No
S080,Somewhat satisfied,Sometimes,1.5,No
S081,Very satisfied,Yes,12.0,No
S082,Very dissatisfied,Sometimes,7.5,No
S083,Somewhat dissatisfied,Sometimes,22.0,No
S084,Neutral,Yes,1.5,No
S085,Extremely Satisfied,Yes,20.0,No
S086,Neutral,Sometimes,10.5,No
S087,Extremely Satisfied,Yes,5.5,No
S088,Somewhat dissatisfied,Yes,7.0,No
S089,Extremely Satisfied,Sometimes,10.0,No
S090,Neutral,Yes,30.5,No
S091,Extremely Satisfied,Sometimes,11.0,No
S092,Somewhat dissatisfied,Sometimes,17.5,No
S093,Extremely Satisfied,Yes,19.5,No
S094,Somewhat dissatisfied,Sometimes,29.5,No
S095,Somewhat dissatisfied,Yes,3.5,No
S096,Somewhat satisfied,Sometimes,32.0,No
S097,Extremely Satisfied,Sometimes,10.5,No
S098,Very dissatisfied,Yes,28.5,No
S099,Extremely Satisfied,Yes,29.5,No
S100,Very satisfied,Yes,5.5,No
S101,Somewhat dissatisfied,Yes,1.5,No
S102,Extremely Satisfied,Sometimes,4.5,No
S103,Very satisfied,Sometimes,21.5,No
S104,Very dissatisfied,Yes,10.0,No
S105,Somewhat satisfied,Yes,22.5,No
S106,Extremely Satisfied,Yes,9.5,No
S107,Very satisfied,Yes,1.5,No
S108,Somewhat dissatisfied,Yes,1.5,No
S109,Very dissatisfied,Sometimes,30.5,No
S110,Somewhat dissatisfied,Sometimes,21.0,No
S111,Very satisfied,Sometimes,22.0,No
S112,Somewhat dissatisfied,Sometimes,30.5,No
S113,Somewhat satisfied,Sometimes,1.5,No
S114,Very satisfied,Sometimes,9.0,No
S115,Neutral,Sometimes,3.5,No
S116,Very satisfied,Yes,22.0,No
S117,Very satisfied,Yes,10.5,No
S118,Extremely Satisfied,Sometimes,1.5,No
S119,Very satisfied,Yes,11.5,No
S120,Extremely Satisfied,Yes,9.5,No
S121,Very satisfied,Sometimes,10.5,No
S122,Extremely Satisfied,Sometimes,11.5,No
S123,Extremely Satisfied,Sometimes,21.0,No
S124,Somewhat dissatisfied,Yes,29.5,No
S125,Extremely Satisfied,Sometimes,1.5,No
S126,Extremely Satisfied,Sometimes,19.0,No
S127,Very dissatisfied,Sometimes,4.5,No
S128,Very dissatisfied,Yes,32.0,No
S129,Neutral,Yes,10.0,No
S130,Very satisfied,Yes,7.0,No
